pais,anio,archivo,estado_fuente,archivo_cou,unidad,productos,actividades,alerta_demanda_residual
Argentina,2004,Argentina\MIP_Argentina_2004_auditable.xlsx,OK_COU_ESTRICTO,data\processed\argentina\cou_argentina_2004.xlsx,Miles de millones de moneda local,272.0,162.0,
Argentina,2018,Argentina\MIP_Argentina_2018_auditable.xlsx,OK_COU_ESTRICTO,data\processed\argentina\cou_argentina_2018.xlsx,Miles de millones de moneda local,223.0,107.0,
Argentina,2019,Argentina\MIP_Argentina_2019_auditable.xlsx,OK_COU_ESTRICTO,data\processed\argentina\cou_argentina_2019.xlsx,Miles de millones de moneda local,224.0,107.0,
Argentina,2020,Argentina\MIP_Argentina_2020_auditable.xlsx,OK_COU_ESTRICTO,data\processed\argentina\cou_argentina_2020.xlsx,Miles de millones de moneda local,223.0,107.0,
Argentina,2021,Argentina\MIP_Argentina_2021_auditable.xlsx,OK_COU_ESTRICTO,data\processed\argentina\cou_argentina_2021.xlsx,Miles de millones de moneda local,222.0,107.0,
Argentina,2022,Argentina\MIP_Argentina_2022_auditable.xlsx,OK_COU_ESTRICTO,data\processed\argentina\cou_argentina_2022.xlsx,Miles de millones de moneda local,222.0,107.0,
Brasil,2000,Brasil\MIP_Brasil_2000_auditable.xlsx,OK_COU_ESTRICTO,data\processed\brasil_early\cou_brasil_early_2000.xlsx,Miles de millones de moneda local,107.0,51.0,
Brasil,2001,Brasil\MIP_Brasil_2001_auditable.xlsx,OK_COU_ESTRICTO,data\processed\brasil_early\cou_brasil_early_2001.xlsx,Miles de millones de moneda local,107.0,51.0,
Brasil,2002,Brasil\MIP_Brasil_2002_auditable.xlsx,OK_COU_ESTRICTO,data\processed\brasil_early\cou_brasil_early_2002.xlsx,Miles de millones de moneda local,107.0,51.0,
Brasil,2003,Brasil\MIP_Brasil_2003_auditable.xlsx,OK_COU_ESTRICTO,data\processed\brasil_early\cou_brasil_early_2003.xlsx,Miles de millones de moneda local,107.0,51.0,
Brasil,2004,Brasil\MIP_Brasil_2004_auditable.xlsx,OK_COU_ESTRICTO,data\processed\brasil_early\cou_brasil_early_2004.xlsx,Miles de millones de moneda local,107.0,51.0,
Brasil,2005,Brasil\MIP_Brasil_2005_auditable.xlsx,OK_COU_ESTRICTO,data\processed\brasil_early\cou_brasil_early_2005.xlsx,Miles de millones de moneda local,107.0,51.0,
