pais,anio,ok
Argentina,2004,si
Argentina,2018,si
Argentina,2019,si
Argentina,2020,si
Argentina,2021,si
Argentina,2022,si
Argentina,2023,si
Brasil,2010,si
Brasil,2011,si
Brasil,2012,si
Brasil,2013,si
Brasil,2014,si
Brasil,2015,si
Brasil,2016,si
Brasil,2017,si
Brasil,2018,si
Brasil,2019,si
Brasil,2020,si
Brasil,2021,si
Uruguay,2012,si
Uruguay,2016,si
Uruguay,2017,si
México,2013,si
Colombia,2014,si
Colombia,2015,si
Colombia,2016,si
Colombia,2017,si
Colombia,2018,si
Colombia,2019,si
Colombia,2020,si
Colombia,2021,si
Colombia,2022,si
Colombia,2023,si
Colombia,2024,si
