pais,anio,variante,n_viejo,n_nuevo,n_comun,mult_viejo_total,mult_nuevo_total,dif_total_%,corr_total,mae_total,mult_nuevo_domestica,dif_publicado_%,corr_publicado,diag_viejo,diag_nuevo_total
Argentina,2004,reconstruida,162,162,162,1.958201,1.976357,0.927209,0.981650,0.001643,1.754675,-10.393503,0.982221,1.041999,1.049171
Argentina,2018,reconstruida,107,107,103,1.923269,2.010988,4.560919,0.994238,0.002163,1.746193,-9.207037,0.995548,1.055880,1.066987
Argentina,2019,reconstruida,107,107,103,1.925676,1.988238,3.248835,0.994899,0.002147,1.745005,-9.382225,0.995838,1.055192,1.063925
Argentina,2020,reconstruida,107,107,103,1.934003,1.996082,3.209855,0.994321,0.002272,1.748928,-9.569567,0.995191,1.056802,1.064899
Argentina,2021,reconstruida,107,107,103,1.961576,2.029107,3.442672,0.993023,0.002370,1.757658,-10.395640,0.994892,1.055855,1.065957
Argentina,2022,reconstruida,107,107,103,1.970106,2.039815,3.538310,0.991981,0.002469,1.762642,-10.530606,0.994272,1.055234,1.065272
Brasil,2010,reconstruida,68,67,66,2.121986,2.099794,-1.045812,0.997799,0.002069,1.813177,-14.552845,0.997441,1.093198,1.111371
Brasil,2015,reconstruida,68,67,66,2.169441,2.176860,0.341969,0.996571,0.002576,1.811849,-16.483143,0.997062,1.094601,1.116076
Brasil,2016,reconstruida,68,68,68,2.136487,2.099494,-1.731488,0.986777,0.003999,1.837021,-14.016747,0.986666,1.090316,1.103067
Brasil,2017,reconstruida,68,68,68,2.149041,2.098901,-2.333140,0.985379,0.004151,1.837964,-14.475175,0.985194,1.091032,1.103457
Brasil,2018,reconstruida,68,68,68,2.183921,2.159352,-1.125017,0.984955,0.004317,1.845351,-15.502848,0.985131,1.093478,1.110929
Brasil,2019,reconstruida,68,68,68,2.181653,2.172954,-0.398732,0.984732,0.004378,1.847246,-15.328135,0.985326,1.092011,1.111244
Brasil,2020,reconstruida,68,68,68,2.187602,2.199101,0.525641,0.984739,0.004403,1.847947,-15.526382,0.986501,1.096600,1.120767
Brasil,2021,reconstruida,68,68,68,2.277325,2.297563,0.888680,0.983770,0.004627,1.893308,-16.862618,0.986464,1.103927,1.129830
Mexico,2008,oficial,262,262,262,1.655436,1.978311,19.503948,0.988603,0.001267,1.511033,-8.722927,0.998461,1.015911,1.043941
Mexico,2013,reconstruida,262,262,262,1.681026,2.044499,21.622121,0.990342,0.001444,1.517398,-9.733809,0.998396,1.015564,1.038911
Uruguay,2012,reconstruida,107,107,107,8.584233,2.005285,-76.639909,0.778764,0.060778,1.650800,-80.769390,0.733815,1.221477,1.081256
