pais,anio,modo,desbalance,discrepancia,mueve,negativos,fila_col,mult
Colombia,2021,no hizo falta,2.80135433495685e-16,0.0,0.0,0,6.426767413305346e-16,1.7728276696728298
Colombia,2016,no hizo falta,3.037217237511866e-16,0.0,0.0,0,6.608019048737082e-16,1.7617954620544416
Colombia,2017,no hizo falta,3.1087193395357513e-16,0.0,0.0,0,5.587720879211109e-16,1.7595744558261912
Colombia,2019,no hizo falta,3.496879710762448e-16,0.0,0.0,0,6.551375485488408e-16,1.7552687052804048
Colombia,2018,no hizo falta,4.134066826240583e-16,0.0,0.0,0,5.82014527585065e-16,1.7510689285712582
Brasil,2019,no hizo falta,4.32160226545901e-16,0.0,0.0,0,8.303675901605462e-16,1.8472463163955084
Colombia,2020,no hizo falta,4.64442589951706e-16,0.0,0.0,0,4.702965299064977e-16,1.7727997498474068
Colombia,2022,no hizo falta,4.803669199504902e-16,0.0,0.0,0,4.513574682344119e-16,1.7565285339714118
Brasil,2018,no hizo falta,6.980382061276259e-16,0.0,0.0,0,6.503634730812603e-16,1.8453513690289218
México,2013,discrepancia,2.624242878620295e-05,1.7286302441817128e-06,0.0,0,1.1744933085890135e-15,1.517399155655699
Argentina,2004,discrepancia,7.592887637270543e-05,5.254427193932211e-08,0.0,0,9.333872163870718e-16,1.7546754570273648
Brasil,2021,discrepancia,0.00021939299778144428,1.7729890188733507e-05,0.0,0,6.105271755136082e-16,1.8933084073294788
Colombia,2015,discrepancia,0.0002436276151902134,5.285968318920659e-06,0.0,0,6.054216686789338e-16,1.7550195617034539
Brasil,2015,discrepancia,0.00028728374186109734,2.913807900076336e-05,0.0,0,4.2787166211016913e-16,1.8118490058991994
Brasil,2017,discrepancia,0.0006259678798957264,5.5711686397330076e-05,0.0,0,6.77179730483822e-16,1.8379635890426111
Brasil,2014,discrepancia,0.0008313940019688079,7.604904192374323e-05,0.0,0,5.969036969673429e-16,1.8400900443465837
Colombia,2024,discrepancia,0.0008600779774734477,9.149278940061562e-05,0.0,0,7.051371434010201e-16,1.7769644109361453
Brasil,2010,discrepancia,0.0009562928475496219,8.879144389888382e-05,0.0,0,4.1045266721606387e-16,1.8131768212708679
Brasil,2012,discrepancia,0.0012120275914516408,9.92218622728356e-05,0.0,0,5.688934515507383e-16,1.8335866882415284
Brasil,2013,discrepancia,0.0013308553390285408,0.00011300139840611274,0.0,0,6.268932043108573e-16,1.830746693431483
Brasil,2011,discrepancia,0.0013880028277324689,0.00010821620441552548,0.0,0,5.838187242077098e-16,1.826852531265415
Brasil,2020,discrepancia,0.0029390682639226615,0.0002992590424395425,0.0,0,5.846857693805347e-16,1.8479469692280617
Colombia,2023,discrepancia,0.005166510025675056,0.0005688969368403432,0.0,0,4.955192981362363e-16,1.7784758017445932
Brasil,2016,discrepancia,0.006384362251059828,0.0006553852109634599,0.0,0,5.67999314133197e-16,1.8370215618746186
Colombia,2014,discrepancia,0.011008580216933808,0.00047875159172996605,0.0,0,6.510341458646587e-16,1.744463897889395
Uruguay,2016,discrepancia,0.013847088544367869,0.00041831789681038905,0.0,0,4.579261213790369e-16,1.6685212528969053
Argentina,2020,RAS,0.033811626707309375,0.0,0.0021986882415718874,97,6.097243452966668e-13,1.7489276177962163
Argentina,1997,RAS,0.04455571615608437,0.0,0.002538750579205011,45,8.250992976216098e-16,1.7524941421998317
Uruguay,2012,RAS,0.05467180352161525,0.0,0.003556137116832075,22,8.611900539729415e-13,1.6508005815045046
Argentina,2022,RAS,0.057106175713549236,0.0,0.0019407962530963796,68,6.240223484715407e-13,1.7626424305776278
Argentina,2023,RAS,0.07713612224960152,0.0,0.0012556514666595823,69,6.231379340523891e-13,1.7730311159881862
Argentina,2021,RAS,0.12569078084855503,0.0,0.002165465493880202,54,6.320157839805535e-13,1.7576576590561823
Uruguay,2017,RAS,0.23786648236382554,0.0,0.00911733528053585,14,6.579615996338278e-13,1.6022586970603803
Argentina,2019,RAS,0.2858839103964906,0.0,0.0010660121960543536,83,5.644755601952554e-13,1.7450050287576138
Argentina,2018,RAS,0.5898948894389304,0.0,0.0014293415327030945,99,5.984388616872901e-13,1.746192916648865
